# Dragon Router benchmark results (M12f)

Command:
./out/dragon_router_tests --bench DragonRouter_

[BENCH] DragonRouter_ForwardKnownRouteBench iterations=10000 elapsed_ns=69436082 avg_ns=6943
[BENCH] DragonRouter_QueueRetryBackoffBench iterations=3000 elapsed_ns=120402542 avg_ns=40134
[BENCH] DragonRouter_QueueRetryBaselineBench iterations=3000 elapsed_ns=175845271 avg_ns=58615
[BENCH] DragonRouter_QueueRetryConditionAwareBench iterations=3000 elapsed_ns=160553355 avg_ns=53517
[BENCH] DragonRouter_QueueRetryLightBench iterations=5000 elapsed_ns=71504111 avg_ns=14300
[BENCH] DragonRouter_UtilityCandidates1Bench iterations=10000 elapsed_ns=68676622 avg_ns=6867
[BENCH] DragonRouter_UtilityCandidates2Bench iterations=10000 elapsed_ns=81687927 avg_ns=8168
[BENCH] DragonRouter_UtilityCandidates4Bench iterations=10000 elapsed_ns=96289787 avg_ns=9628
[BENCH] DragonRouter_UtilityCandidates8Bench iterations=10000 elapsed_ns=119709797 avg_ns=11970

Benchmark Summary: 9 benchmark(s)
